id,traj_id,time,entity_id,coordinates,current_dis,speeds,holidays
126,9,2013-10-08T22:30:00Z,254,"[116.490013,39.892902]",0.0,37.2925,0
133,9,,254,"[116.511292,39.904655]",3.0790165998762267,24.65,0
147,11,2013-10-08T23:00:00Z,254,"[116.450546,39.943771]",0.0,36.0575,0
164,11,,254,"[116.440742,40.018944]",12.543428249615287,49.89999999999999,0
171,13,2013-10-08T17:15:00Z,255,"[116.335503,39.763187]",0.0,26.625,0
175,13,,255,"[116.34182,39.771339]",1.500453396259508,64.5,0
207,16,2013-10-08T19:00:00Z,255,"[116.479919,39.801834]",0.0,22.76,0
214,16,,255,"[116.493935,39.789604]",2.206868057855485,14.07,0
337,24,2013-10-08T08:00:00Z,256,"[116.229218,39.900791]",0.0,26.284999999999997,0
354,24,,256,"[116.314941,39.897045]",7.685248857262442,31.0475,0
355,25,2013-10-08T08:30:00Z,256,"[116.324127,39.897049]",0.0,21.6075,0
377,25,,256,"[116.410393,39.899246]",8.070722821020265,30.285,0
547,40,2013-10-08T08:30:00Z,257,"[116.408173,39.79324]",0.0,26.402500000000003,0
613,40,,257,"[116.470497,39.911777]",22.801703326688234,29.395,0
1040,53,2013-10-08T18:30:00Z,257,"[116.360901,39.878113]",0.0,23.43,0
1082,53,,257,"[116.284477,39.957474]",14.725642574985304,19.965,0
1103,55,2013-10-08T19:45:00Z,257,"[116.268333,39.883675]",0.0,18.4225,0
1112,55,,257,"[116.266289,39.856838]",3.29256194502244,24.9025,0
1191,60,2013-10-08T06:15:00Z,258,"[116.467606,39.876831]",0.0,26.6325,0
1204,60,,258,"[116.378616,39.859783]",8.904612875260787,19.155,0
1439,67,2013-10-08T06:00:00Z,4118,"[116.351501,39.939926]",0.0,45.81999999999999,0
1491,67,,4118,"[116.541328,40.024174]",23.607038870114952,86.58000000000001,0
1656,77,2013-10-08T13:45:00Z,4118,"[116.369614,39.985012]",0.0,27.590000000000003,0
1666,77,,4118,"[116.332123,39.992634]",4.8697326450309495,18.8675,0
1707,82,2013-10-08T09:30:00Z,4120,"[116.437233,39.98579]",0.0,18.200000000000003,0
1714,82,,4120,"[116.461655,39.950142]",5.531600540800357,32.665,0
1740,86,2013-10-08T18:30:00Z,4120,"[116.386902,39.854935]",0.0,22.555,0
1744,86,,4120,"[116.347527,39.850155]",3.6775854066850746,49.9025,0
1776,89,2013-10-08T08:30:00Z,4121,"[116.325829,39.897053]",0.0,21.6075,0
1788,89,,4121,"[116.356834,39.916866]",4.792201530370765,39.5325,0
1909,97,2013-10-08T12:00:00Z,4122,"[116.316399,39.978687]",0.0,37.6575,0
1927,97,,4122,"[116.313873,40.024509]",5.890675838710133,38.73,0
2063,105,2013-10-08T00:00:00Z,4123,"[116.461601,39.940952]",0.0,50.3525,0
2103,105,,4123,"[116.417839,40.024811]",13.294559380125229,47.7425,0
2252,112,2013-10-08T12:45:00Z,4123,"[116.200317,39.944359]",0.0,17.895,0
2258,112,,4123,"[116.200386,39.927677]",2.0938696707891062,36.0175,0
2412,117,2013-10-08T16:00:00Z,4123,"[116.267342,39.850098]",0.0,29.735,0
2437,117,,4123,"[116.319969,39.896984]",8.566219134882624,34.415,0
2619,125,2013-10-08T23:00:00Z,4123,"[116.416809,39.943233]",0.0,21.5125,0
2629,125,,4123,"[116.395378,39.955612]",3.3664300358405628,54.72,0
2630,126,2013-10-08T23:00:00Z,4123,"[116.393478,39.949192]",0.0,55.9575,0
2671,126,,4123,"[116.268219,39.90752]",16.383933018024006,46.287499999999994,0
2990,136,2013-10-08T16:15:00Z,4124,"[116.354355,39.937729]",0.0,32.045,0
3008,136,,4124,"[116.346481,39.957378]",4.780203101268119,15.7175,0
3024,138,2013-10-08T19:00:00Z,4124,"[116.438904,39.959709]",0.0,17.8475,0
3056,138,,4124,"[116.387665,39.983196]",10.701278579377334,16.8675,0
3127,141,2013-10-08T21:00:00Z,4124,"[116.472702,39.908451]",0.0,44.5775,0
3174,141,,4124,"[116.370148,39.865528]",16.55731518839401,18.2475,0
