traj_id,entity_id,start_speed,holidays,start_time,final_time,duration(min)
9,254,37.2925,0,2013-10-08T22:30:00Z,2013-10-08T22:36:20Z,6.343895435
11,254,36.0575,0,2013-10-08T23:00:00Z,2013-10-08T23:06:39Z,6.653904915
13,255,26.625,0,2013-10-08T17:15:00Z,----,-1
16,255,22.76,0,2013-10-08T19:00:00Z,2013-10-08T19:11:43Z,11.72507954
24,256,26.285,0,2013-10-08T08:00:00Z,2013-10-08T08:19:18Z,19.30543137
25,256,21.6075,0,2013-10-08T08:30:00Z,2013-10-08T08:43:34Z,13.56959248
40,257,26.4025,0,2013-10-08T08:30:00Z,2013-10-08T08:50:34Z,20.56680679
53,257,23.43,0,2013-10-08T18:30:00Z,2013-10-08T18:56:59Z,26.99442101
55,257,18.4225,0,2013-10-08T19:45:00Z,2013-10-08T20:09:52Z,24.87634659
60,258,26.6325,0,2013-10-08T06:15:00Z,2013-10-08T06:39:57Z,24.95913315
67,4118,45.82,0,2013-10-08T06:00:00Z,2013-10-08T06:20:40Z,20.66967201
77,4118,27.59,0,2013-10-08T13:45:00Z,2013-10-08T13:58:35Z,13.59730148
82,4120,18.2,0,2013-10-08T09:30:00Z,2013-10-08T09:44:54Z,14.90515327
86,4120,22.555,0,2013-10-08T18:30:00Z,2013-10-08T18:48:57Z,18.96382141
89,4121,21.6075,0,2013-10-08T08:30:00Z,2013-10-08T08:43:55Z,13.93184471
97,4122,37.6575,0,2013-10-08T12:00:00Z,----,-1
105,4123,50.3525,0,2013-10-08T00:00:00Z,----,-1
112,4123,17.895,0,2013-10-08T12:45:00Z,2013-10-08T13:06:33Z,21.55307388
117,4123,29.735,0,2013-10-08T16:00:00Z,2013-10-08T16:32:44Z,32.73790741
125,4123,21.5125,0,2013-10-08T23:00:00Z,2013-10-08T23:10:17Z,10.28415108
126,4123,55.9575,0,2013-10-08T23:00:00Z,2013-10-08T23:10:43Z,10.72232056
136,4124,32.045,0,2013-10-08T16:15:00Z,2013-10-08T16:20:16Z,5.271199226
138,4124,17.8475,0,2013-10-08T19:00:00Z,2013-10-08T19:16:22Z,16.36966515
141,4124,44.5775,0,2013-10-08T21:00:00Z,2013-10-08T21:19:30Z,19.51628113
145,4125,9.265,0,2013-10-08T08:00:00Z,2013-10-08T08:33:37Z,33.63150406
148,4125,32.69,0,2013-10-08T10:00:00Z,2013-10-08T10:08:02Z,8.048064232
152,4125,50.285,0,2013-10-08T16:15:00Z,2013-10-08T16:20:14Z,5.243554115
153,4125,23.82,0,2013-10-08T16:30:00Z,2013-10-08T16:49:52Z,19.88104057
155,4126,19.26,0,2013-10-08T09:00:00Z,2013-10-08T09:06:19Z,6.327383041
159,4126,22.23,0,2013-10-08T13:00:00Z,2013-10-08T13:18:22Z,18.38138199
161,4126,32.375,0,2013-10-08T13:45:00Z,2013-10-08T13:49:48Z,4.808119774
162,4126,30.3125,0,2013-10-08T14:00:00Z,2013-10-08T14:13:02Z,13.04510021
