2013-10-08T08:30:00Z,256,25,[116.324127;39.897049],0.0,21.6075
2013-10-08T08:30:55Z,256,25,[116.327652;39.897018],0.3007510004845093,21.15
2013-10-08T08:32:44Z,256,25,[116.330978;39.897041],0.5845212975718889,20.4825
2013-10-08T08:34:32Z,256,25,[116.336624;39.897305],1.0671227092377018,20.6575
2013-10-08T08:35:25Z,256,25,[116.341118;39.897537],1.451387903061279,24.07
2013-10-08T08:36:20Z,256,25,[116.345924;39.89782],1.862608250332156,20.655
2013-10-08T08:37:11Z,256,25,[116.352654;39.897881],2.4368035361375995,18.119999999999997
2013-10-08T08:40:28Z,256,25,[116.355743;39.898369],2.7075661944689826,20.5475
2013-10-08T08:44:05Z,256,25,[116.358871;39.899197],2.9932561000026805,22.76
2013-10-08T08:45:53Z,256,25,[116.361748;39.899303],3.238989463732897,27.725
2013-10-08T08:46:47Z,256,25,[116.364128;39.899414],3.4424043351342504,19.65
2013-10-08T08:48:37Z,256,25,[116.374619;39.899754],4.338201817197501,19.055
2013-10-08T08:49:31Z,256,25,[116.380623;39.899956],4.850897268333604,34.77
2013-10-08T08:51:18Z,256,25,[116.387314;39.900158],5.422168567569861,40.9575
2013-10-08T08:52:13Z,256,25,[116.38732132938425;39.900454416090504],6.0479081509031944,22.6325
2013-10-08T08:30:00Z,257,40,[116.408173;39.79324],0.0,26.402500000000003
2013-10-08T08:30:36Z,257,40,[116.411362;39.793404],0.2730877844252742,11.56
2013-10-08T08:31:12Z,257,40,[116.414215;39.793545],0.5174177311421868,21.9625
2013-10-08T08:31:36Z,257,40,[116.416885;39.793655],0.7458767777645318,20.015
2013-10-08T08:32:24Z,257,40,[116.419693;39.793449],0.9953698060808646,33.14
2013-10-08T08:33:17Z,257,40,[116.420586;39.78878],1.5202557083373591,25.2225
2013-10-08T08:35:13Z,257,40,[116.421707;39.786469],1.8026945167291908,17.205
2013-10-08T08:35:36Z,257,40,[116.424622;39.784592],2.127682666800403,33.515
2013-10-08T08:37:13Z,257,40,[116.426712;39.783386],2.3529900497752285,26.2625
2013-10-08T08:37:48Z,257,40,[116.428291;39.785343],2.6198180210323496,52.22
2013-10-08T08:38:36Z,257,40,[116.430511;39.788353],3.0080969793042582,40.72749999999999
2013-10-08T08:39:36Z,257,40,[116.430969;39.790245],3.2914924369011778,32.917500000000004
2013-10-08T08:40:00Z,257,40,[116.430298;39.793922],3.7044469359823977,69.2825
2013-10-08T08:40:13Z,257,40,[116.430077;39.795883],3.923329626995672,58.567499999999995
2013-10-08T08:40:24Z,257,40,[116.4354234854435;39.79588460625353],4.102285876995672,55.8975
2013-10-08T18:30:00Z,257,53,[116.360901;39.878113],0.0,23.43
2013-10-08T18:30:25Z,257,53,[116.357834;39.877972],0.2622449075281899,20.01
2013-10-08T18:30:49Z,257,53,[116.355209;39.877861],0.4866187747795115,28.7425
2013-10-08T18:31:36Z,257,53,[116.351463;39.877747],0.8066419530292231,15.304999999999998
2013-10-08T18:32:25Z,257,53,[116.35022;39.879753],1.1108389930817897,52.37
2013-10-08T18:32:48Z,257,53,[116.350121;39.882111],1.3731888591398849,51.0475
2013-10-08T18:33:25Z,257,53,[116.349998;39.885784],1.7819072793860575,46.7075
2013-10-08T18:35:01Z,257,53,[116.349892;39.887661],1.993548687895789,40.42
2013-10-08T18:35:49Z,257,53,[116.348816;39.892345],2.537134376292591,41.6875
2013-10-08T18:36:37Z,257,53,[116.348984;39.897087],3.0647004366945767,38.64
2013-10-08T18:37:00Z,257,53,[116.349388;39.898979],3.2983387638828643,21.8825
2013-10-08T18:37:37Z,257,53,[116.346298;39.897911],3.631989302164208,32.0125
2013-10-08T18:38:00Z,257,53,[116.341537;39.897633],4.039342954995482,39.47
2013-10-08T18:38:11Z,257,53,[116.339165;39.897507],4.242190260030086,56.684999999999995
2013-10-08T18:38:44Z,257,53,[116.33915891866489;39.898179819088504],4.761802760030086,53.345
2013-10-08T06:00:00Z,4118,67,[116.351501;39.939926],0.0,45.81999999999999
2013-10-08T06:00:53Z,4118,67,[116.351601;39.943905],0.4425540378716295,33.792500000000004
2013-10-08T06:01:36Z,4118,67,[116.349503;39.946529],0.8127029028872779,35.125
2013-10-08T06:02:00Z,4118,67,[116.349037;39.948406],1.0251756581997271,35.125
2013-10-08T06:04:16Z,4118,67,[116.347054;39.955475],1.8292369852459285,36.4325
2013-10-08T06:05:00Z,4118,67,[116.346977;39.958149],2.131516781096108,18.1875
2013-10-08T06:05:24Z,4118,67,[116.349724;39.958076],2.3658068650912094,31.1075
2013-10-08T06:05:52Z,4118,67,[116.353752;39.958103],2.7091577407010723,31.8875
2013-10-08T06:09:12Z,4118,67,[116.35495;39.961514],3.1824231351491155,57.7
2013-10-08T06:09:36Z,4118,67,[116.354836;39.965214],3.5939844529860703,39.725
2013-10-08T06:10:12Z,4118,67,[116.356438;39.96748],3.9231473712173126,60.59
2013-10-08T06:10:52Z,4118,67,[116.363914;39.967747],4.560987616512768,67.81
2013-10-08T06:11:15Z,4118,67,[116.369698;39.967888],5.054182052255177,61.5075
2013-10-08T06:11:52Z,4118,67,[116.378769;39.968102],5.827628056867068,64.27250000000001
2013-10-08T06:12:17Z,4118,67,[116.37792770794779;39.96809845416013],6.273964862422623,69.3475
2013-10-08T00:00:00Z,4123,105,[116.461601;39.940952],0.0,50.3525
