label time,predicted time,diff,绝对差值平均,绝对差值标准差,,,
35.583332,96.3794,-60.796068,47.325733,25.920568,,,-47.28
4.55,34.085884,-29.535884,,,,,26.01077687
37.566666,87.758545,-50.191879,,,,,
27.2,43.17282,-15.97282,,,,,
15.433333,37.040943,-21.60761,,,,,
10.983334,78.679535,-67.696201,,,,,
4.5666666,54.09744,-49.5307734,,,,,
6.766667,56.653305,-49.886638,,,,,
40,68.36026,-28.36026,,,,,
8.083333,14.207922,-6.124589,,,,,
17.5,61.546432,-44.046432,,,,,
11.516666,51.52986,-40.013194,,,,,
8.566667,36.929745,-28.363078,,,,,
23.9,133.10095,-109.20095,,,,,
41.95,126.490425,-84.540425,,,,,
28.216667,57.113434,-28.896767,,,,,
27.45,109.13868,-81.68868,,,,,
3.2166667,15.43015,-12.2134833,,,,,
9.333333,44.04591,-34.712577,,,,,
28,114.89847,-86.89847,,,,,
7.4166665,40.884304,-33.4676375,,,,,
39.466667,96.0177,-56.551033,,,,,
11.016666,70.707214,-59.690548,,,,,
18.4,94.64117,-76.24117,,,,,
22.2,37.747887,-15.547887,,,,,
36.3,97.117004,-60.817004,,,,,
8.766666,80.19152,-71.424854,,,,,
9.6,22.259003,-12.659003,,,,,
61.016666,172.987,-111.970334,,,,,
16.733334,56.754158,-40.020824,,,,,
5.133333,40.70332,-35.569987,,,,,
23.816668,56.03907,-32.222402,,,,,
17.966667,51.974957,-34.00829,,,,,
11.583333,41.91959,-30.336257,,,,,
6.983333,37.382126,-30.398793,,,,,
5.6833334,42.029774,-36.3464406,,,,,
14.933333,43.857372,-28.924039,,,,,
3.5,38.638046,-35.138046,,,,,
29.433332,109.503296,-80.069964,,,,,
28.1,63.045162,-34.945162,,,,,
29.75,84.370155,-54.620155,,,,,
42.2,91.36885,-49.16885,,,,,
6.8,55.708046,-48.908046,,,,,
5.8166666,49.88732,-44.0706534,,,,,
10.7,100.21699,-89.51699,,,,,
6.3333335,44.98603,-38.6526965,,,,,
53.716667,112.250114,-58.533447,,,,,
43.95,116.88655,-72.93655,,,,,
13.966666,21.716665,-7.749999,,,,,
10.216666,24.652084,-14.435418,,,,,
14.016666,45.83703,-31.820364,,,,,
11.883333,63.391815,-51.508482,,,,,
9.166667,60.227848,-51.061181,,,,,
5.3166666,81.312546,-75.9958794,,,,,
5.85,41.298527,-35.448527,,,,,
8.4,86.624435,-78.224435,,,,,
7.9666667,53.060535,-45.0938683,,,,,
17.216667,113.162254,-95.945587,,,,,
10.2,44.073456,-33.873456,,,,,
11.016666,48.835686,-37.81902,,,,,
16.75,81.348976,-64.598976,,,,,
15.916667,53.410164,-37.493497,,,,,
17.583334,85.24667,-67.663336,,,,,
3.9833333,75.78384,-71.8005067,,,,,
3.4,39.10959,-35.70959,,,,,
9.1,6.3618374,2.7381626,,,,,
3.6333334,69.292046,-65.6587126,,,,,
5,33.313694,-28.313694,,,,,
8.433333,41.617435,-33.184102,,,,,
11.45,65.976685,-54.526685,,,,,
15.3,82.96601,-67.66601,,,,,
9.483334,36.975414,-27.49208,,,,,
9.266666,44.420578,-35.153912,,,,,
45.116665,66.63322,-21.516555,,,,,
38.383335,69.628456,-31.245121,,,,,
15.5,36.120583,-20.620583,,,,,
13.883333,39.335423,-25.45209,,,,,
11.433333,45.258396,-33.825063,,,,,
14.55,45.4914,-30.9414,,,,,
35.483334,85.55086,-50.067526,,,,,
24.466667,99.941986,-75.475319,,,,,
19.733334,54.547943,-34.814609,,,,,
6.4,53.570267,-47.170267,,,,,
20.016666,35.185722,-15.169056,,,,,
23.733334,63.92735,-40.194016,,,,,
10,74.54614,-64.54614,,,,,
52.283333,150.1819,-97.898567,,,,,
36.916668,85.32193,-48.405262,,,,,
31.2,103.15334,-71.95334,,,,,
4.9,45.65355,-40.75355,,,,,
3.4833333,58.342567,-54.8592337,,,,,
31.033333,66.40485,-35.371517,,,,,
31.433332,146.35873,-114.925398,,,,,
32.216667,86.27293,-54.056263,,,,,
3.6666667,65.12024,-61.4535733,,,,,
9.383333,44.299515,-34.916182,,,,,
11.683333,57.58853,-45.905197,,,,,
8.116667,22.59031,-14.473643,,,,,
25.033333,49.7164,-24.683067,,,,,
34.566666,117.0983,-82.531634,,,,,
10.733334,46.72798,-35.994646,,,,,
20.25,100.674706,-80.424706,,,,,
15.883333,97.76035,-81.877017,,,,,
11.383333,31.299234,-19.915901,,,,,
31.866667,70.79639,-38.929723,,,,,
7.35,32.04221,-24.69221,,,,,
8.3,46.94789,-38.64789,,,,,
25.35,92.087555,-66.737555,,,,,
